Symbol,Price_Increase_Percentage,Screeners,MVP_Last_6Mo,IBD_RSI,Nr_Of_Spikes,Volume-Acceleration(%),RSI_12M,RSI_3M,RSI_6M,Price_Tightness_1W
ERJ,124.2868462757528,6,1,83,,,95.31680440771345,82.22923238696112,87.49181401440735,5.981155264235973
TGLS,120.66438690766978,5,,90,,,93.91468005018821,82.56062767475035,82.56062767475035,8.058445871153422
LKNCY,120.0810185185185,5,,93,,,91.40154772141015,72.38700564971751,86.75721561969443,11.503195332036679
SWTX,119.78021978021978,6,,65,,425.89,96.27766599597588,96.27766599597588,96.27766599597588,0.46968403074296744
CFSB,117.35015772870663,6,,96,,336.53,97.25806451612901,97.25806451612901,97.25806451612901,0.7299270072992675
AXSM,117.01762595538916,5,,72,,,92.25674987264387,92.25674987264387,92.25674987264387,7.007943512797881
ROAD,116.8894053844664,5,,92,,,91.18942731277536,91.18942731277536,91.18942731277536,8.796213609573144
NFLX,115.11481330062688,5,,93,,,94.52336448598132,94.52336448598132,94.52336448598132,5.27078499536747
TOST,113.69606003752347,5,,91,,,93.54838709677418,84.3609022556391,84.3609022556391,9.084880636604773
SSYS,112.89256198347108,6,,82,1,,88.04780876494024,86.9706840390879,86.9706840390879,7.813953488372091
LBRDK,110.61158363710003,5,,87,,,90.61012548680225,90.61012548680225,90.61012548680225,3.9924154640261307
SSTI,108.4763948497854,5,,74,,,79.0492957746479,71.8963165075034,74.55012853470437,8.207604103802048
AVGO,106.5603112840467,5,,91,,,92.56249041558044,92.56249041558044,92.56249041558044,9.162491052254829
AGI,106.52898067954698,5,,88,,,86.04651162790698,84.14179104477614,82.3399558498896,5.686695278969956
ODC,104.68272819816764,6,,92,1,,92.4129353233831,92.4129353233831,92.4129353233831,18.302387267904507
ONC,103.72231264595568,5,,86,,,97.54929058411648,90.33684210526314,97.54929058411648,11.153888868322657
X,101.56075808249723,6,,92,1,,89.95713410900183,89.95713410900183,89.95713410900183,2.8761061946902697
ZS,99.92179863147605,6,,93,1,,98.95470383275263,98.95470383275263,98.95470383275263,9.919160310320084
JOYY,98.38593974175038,5,,84,,,90.08363201911587,81.33561643835604,81.33561643835604,4.320358671285913
HKXCY,97.03703703703704,5,,90,,,94.68037550290566,86.72680412371132,86.72680412371132,5.60902255639098
NTDOY,95.39823008849555,5,,89,,,93.64261168384884,89.88095238095241,89.88095238095241,4.828879512423805
PLYA,94.22446043165466,5,,87,,,86.20689655172418,81.81818181818211,86.20689655172418,0.3600373372053429
GILD,91.3848117421825,5,,84,,,88.59616108392923,74.51612903225804,88.59616108392923,6.897463002114164
PODD,90.36416184971098,6,,88,1,,93.83651944627553,88.24008138351982,88.24008138351982,7.039095850864535
VSEC,90.17175572519082,5,,86,,,87.39144419427471,79.55776173285199,80.82127858142795,4.682175137057337
LI,89.90825688073392,5,,87,,,88.26815642458102,88.26815642458102,88.26815642458102,9.492635024549925
MYTAY,89.35698447893571,5,,92,,,93.29545454545452,93.29545454545452,93.29545454545452,3.3957845433255307
ULS,89.16601714731098,6,1,91,,,95.56962025316463,95.56962025316463,95.56962025316463,5.4132631870414105
ITRN,88.34991708126036,5,,79,,,90.0,81.19402985074622,83.58208955223883,6.58061250316376
IPI,88.0453121234032,7,,90,1,75.02,86.84210526315793,86.84210526315793,86.84210526315793,4.318067490818863
GBNY,87.16683119447185,5,,84,,,92.59259259259258,81.73515981735164,81.73515981735164,3.6210018105009034
JBL,87.15567612687812,6,1,90,,,98.59783301465903,96.35890767230167,98.59783301465903,8.189775324747727
MTZ,85.58248110271232,5,,90,,,99.74153528043419,99.74153528043419,99.74153528043419,7.624242424242432
RL,85.51551679917925,5,,87,,,93.89757743023614,93.89757743023614,93.89757743023614,5.570254347902783
ONIT,84.24107142857146,6,,86,,60.20,96.23529411764713,91.25364431486882,91.25364431486882,4.40251572327044
ADYEY,82.93135435992579,5,,85,,,92.84009546539377,80.76923076923079,80.76923076923079,6.135902636916822
OR,82.53968253968256,5,,91,,,91.33574007220211,85.74610244988864,84.89326765188832,6.9927536231884035
CIHKY,82.25274725274727,5,,87,,,92.07360226468506,91.32602193419743,91.32602193419743,7.450381679389317
LYV,81.71869600276466,5,,85,,,94.77054429028807,83.67003367003369,94.77054429028807,7.4341021416804045
OSIS,81.59931877999689,5,,89,,,97.06422018348621,89.3073864825277,90.00706214689262,6.123161524025663
FOX,80.26876433956079,5,,79,,,93.59999999999962,84.77508650519025,86.5136298421808,4.074868395398706
RYTM,79.66580976863754,5,,89,,,83.71361132966169,79.87913259864912,80.36303630363037,13.006152525397058
CW,79.01487347884874,6,1,91,,,98.45367252774659,98.45367252774659,98.45367252774659,6.0490310328456065
TTWO,78.03904170363796,5,,85,,,90.18663455749537,79.3623520427644,79.3623520427644,5.2106004352835775
NRIM,77.447216890595,6,,86,,117.63,90.05780346820816,90.05780346820816,90.05780346820816,4.567255286679745
BKNG,77.34905660377358,5,,85,,,94.36659239085574,82.95939449941338,82.95939449941338,3.104065819103844
CIVB,76.47058823529413,5,,81,,,96.530612244898,96.530612244898,96.530612244898,5.918727915194346
LFCBY,75.43731778425655,5,,84,,,96.18320610687019,94.40000000000006,94.40000000000006,13.318584070796465
AR,73.76681614349775,5,,82,,,90.52987598647121,82.60869565217394,90.52987598647121,6.751963516594881
EXE,73.66898148148148,5,,85,,,89.72005507113352,87.12697483908717,88.22544642857143,4.53182272575809
MGIC,73.50157728706625,5,,89,,,80.10899182561306,80.10899182561306,80.10899182561306,5.231143552311442
TIPT,72.43589743589743,5,,68,,,85.2348993288591,69.18429003021151,79.65517241379314,5.448997384481255
CLBR,72.1182266009852,7,,90,1,415.55,98.6577181208054,95.83333333333336,95.83333333333336,22.32398397252432
DGICB,72.09302325581395,5,,84,,,100.0,95.48022598870047,100.0,6.562847608453835
SIBN,71.36752136752138,6,1,84,,,96.79245283018868,92.55617977528088,92.55617977528088,4.966373512674585
PRDO,71.03311913000495,6,,87,1,,98.434004474273,89.10550458715596,89.10550458715596,9.913294797687861
CSGS,70.9228824273072,6,1,83,,,95.3846153846154,86.26168224299067,95.3846153846154,8.330867120449831
NPSNY,70.91666666666667,5,,88,,,89.43472409152086,84.96732026143788,89.43472409152086,6.435884934178452
CVLT,70.33220820749688,6,1,87,,,94.04494382022472,80.71698953462484,94.04494382022472,5.407801418439719
MT,70.07797270955164,5,,74,,,85.62401263823065,80.22922636103152,81.86915887850463,3.626943005181339
MELI,70.05677419354839,5,,86,,,88.70333230484417,86.55445188547802,86.55445188547802,8.136782580237616
BH,69.92297576554576,6,,87,,417.92,84.6300798888503,74.3452791178498,78.62756952841593,9.568265682656829
FMS,69.88287785833799,5,,85,,,92.05298013245039,87.93650793650797,92.05298013245039,2.387543252595148
CCHGY,69.77099236641222,6,,87,1,,87.20568636161707,87.20568636161707,87.20568636161707,2.714258876573349
UBOH,68.93732970027247,5,,81,,,98.12265331664578,88.26086956521728,98.09885931558932,1.9963702359346667
SGAPY,68.76277057223092,6,,86,,51.23,97.23076923076924,76.02339181286546,91.09848484848487,7.704758821625118
FRFHF,68.63680623174295,5,,85,,,90.06816517379298,87.83753222669498,87.83753222669498,2.9052941176470646
BOTJ,68.14595660749507,5,,69,,,90.09900990099013,80.33333333333334,78.68338557993731,3.4482758620689653
TCEHY,67.90697674418605,5,,80,,,88.32199546485259,78.4041630529055,88.32199546485259,4.4665761279613605
SENEB,67.74308652988404,5,,83,,,100.0,99.40711462450591,100.0,2.3917748917749
VRSN,67.51695750478287,5,,89,,,96.72645739910318,87.08586883029068,96.72645739910318,5.432384154670586
ISBA,66.49572649572649,5,,87,,,100.0,88.8349514563108,88.8349514563108,7.597535934291577
DSDVY,66.27937856858318,5,,86,,,88.17802503477054,88.17802503477054,88.17802503477054,7.023357955679767
PAAS,66.06942889137738,6,,88,,50.75,93.13304721030042,93.13304721030042,93.13304721030042,16.048550236008097
