Symbol,Price_Increase_Percentage
WTS,41.51223128243142
SLF,41.26265890971775
PBH,41.15065057219001
PSMT,40.87214552960907
FHI,40.58898847631243
HCMLY,40.490081680280035
BSAC,40.35184167124793
RSG,39.811963041011516
MO,39.767282683093775
PAYX,39.722703639514734
HMN,39.704495441685
NTR,39.45983062485695
TRV,38.76929224314469
MKL,38.40633655929122
CPA,38.395200599925005
FAST,38.331160365058665
MA,37.84451802453014
ENB,37.109826589595365
PINC,36.81765389082462
NEU,36.81458333333334
ICE,36.079139396674925
HDB,35.84905660377359
CTAS,35.276761477634835
FCFS,35.24541101356744
NTB,32.00849514563106
