"Order","Symbol","Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating","% Off High","50-Day Avg Vol (1000s)","ETF/Closed-End Fund"
"1797","EPWKF","EPWK Holdings","0.1","809.09","0.09","34","-97.2","5","1","E","-","E","1","-99.99","1240","No"
"1798","EQ","Equillium","1.06","-7.83","-0.09","441","-36.9","3","93","A+","E","B-","49","-54.89","701","No"
"1799","EQBK","Equity Bancshares","47.39","2.31","1.07","90","20.2","58","78","B-","C","B-","69","-1.56","72","No"
"1800","EQH","Equitable Holdings","47.31","-0.57","-0.27","3515","34.6","35","24","B-","A","B","45","-16.43","2638","No"
"1801","EQIX","Equinix","801.82","0.35","2.8","443","-20.2","95","26","C-","C","C-","52","-15.9","556","No"
"1802","EQNR","Equinor ADR","24.7","-1","-0.25","6499","65","49","44","C","B","B-","48","-12.61","3940","No"
"1803","EQR","Equity Residential","61.17","-0.05","-0.03","1738","-26.1","77","20","C-","B","D-","40","-19.36","2296","No"
"1804","EQS","Equus Total Return","1.38","-0.72","-0.01","2","-77.6","12","22","B-","D","D-","11","-44.58","13","No"
"1805","EQT","EQT","49.92","-0.68","-0.34","9943","15.8","99","20","C","B","D-","62","-19.78","8586","No"
"1806","EQX","Equinox Gold","14.56","-0.82","-0.12","11650","24.8","80","95","A+","B","B","99","-3.96","9333","No"
"1807","ERAS","Erasca","9.56","15.04","1.25","14487","244.9","35","99","A+","-","A+","89","-1.65","4200","No"
"1808","ERIC","Ericsson ADR","9.5","1.28","0.12","7232","-21.2","81","64","B","D","C+","80","-8.21","9177","No"
"1809","ERIE","Erie Indemnity Cl A","283.07","-0.27","-0.78","92","-37.8","87","13","E","A","D","38","-38.05","153","No"
"1810","ERII","Energy Recovery","14.3","0.56","0.08","340","-37.6","57","21","B","C","D-","37","-21.94","522","No"
"1811","ERNA","Ernexa Therapeutics","1.18","-7.09","-0.09","55","-51.7","54","7","A+","E","B","33","-89.34","116","No"
"1812","ERO","Ero Copper","29.99","-1.99","-0.61","1718","39.1","51","96","A+","A","A-","99","-5.54","1235","No"
"1813","ES","Eversource Energy","69.69","-0.37","-0.26","2504","-5.8","55","57","C+","B","B-","62","-7.39","2674","No"
"1814","ESAB","ESAB","121.81","1.45","1.74","212","-51.2","68","32","B","B","B-","59","-10.33","444","No"
"1815","ESCA","Escalade","13.98","0.87","0.12","12","-43.9","24","53","B+","D","B","43","-17.72","22","No"
"1816","ESE","ESCO Technologies","218.86","2.99","6.35","156","-25.8","97","81","B","A","C-","96","-4.62","211","No"
"1817","ESEA","Euroseas","55.15","-0.36","-0.2","19","-45.8","74","89","B+","A","B-","89","-16.44","36","No"
"1818","ESGL","ESGL Holdings","4","0","0","13","71.7","2","94","B-","E","A","52","-7.41","7","No"
"1819","ESHA","ESH Acquisition Cl A","12.23","-0.73","-0.09","14","-92.3","5","64","C-","-","D-","16","-54.7","195","No"
"1820","ESI","Element Solutions","29.38","4.59","1.29","2952","25.1","61","81","C","B","C+","69","2.57","2360","No"
"1821","ESLA","Estrella Immunopharma","0.97","-6.73","-0.07","54","-71","8","16","A+","-","D+","16","-69.21","191","No"
"1822","ESLOY","EssilorLuxottica ADR","162.99","-0.03","-0.05","57","-2.2","88","57","B+","-","C-","-","-12.45","57","No"
"1823","ESLT","Elbit Systems","720.43","-0.02","-0.16","95","-14","91","95","A","B","A+","98","-0.62","111","No"
"1824","ESNT","Essent Group","61.13","0.84","0.51","711","13.8","58","53","B+","B","C","64","-8.88","643","No"
"1825","ESOA","Energy Svcs of America","8.78","3.54","0.3","92","-42.4","19","16","B-","C","E","23","-42.35","161","No"
"1826","ESP","Espey Mfg & Elec","51.93","6.83","3.32","16","5.4","97","90","A","A","B-","94","-5.58","16","No"
"1827","ESPR","Esperion Therapeutics","3.13","-3.1","-0.1","5492","-12.9","24","96","A+","-","B+","67","-25.03","6310","No"
"1828","ESQ","Esquire Finl Hldgs","107.85","2.63","2.76","27","-56.2","90","75","D","A","B-","85","-20","63","No"
"1829","ESRT","Empire State Realty Tr","6.4","3.9","0.24","3460","137.8","47","15","C-","C","C","18","-35.22","1395","No"
